Display Label / Description,,,,
Listing Title,,,,varchar(255)
Location (address),,,,text?
Images,,,,text[] ? for an array of urls?
Price,,,,integer (no need for cents)
Property Type,,,,varchar(50) - unless we want to have a dropdown list?
Building Type,,,,varchar(50) - same as above
Unit Story,,,,smallint
Unit Sq Footage,,,,integer
Bedrooms,,,,"numeric(3,1)"
Bathrooms,,,,"numeric(3,1)"
Utilities Included,,,,text[] ?
Lease Term,,,,varchar(50) ? to keep it simple?
Furnished,,,,boolean
Available,,,,date
Description,,,,text
Pet-Friendly,,,,boolean
,,,,
,,,,
,,,,
ENTRY & EXTERIOR,,,,
Main Entrance is Barrier-Free,,-,,
Accessible Tenant Parking Available,,-,,
On-Site Parking,,-,,
Accessible Guest Parking,,-,,
Proximity to Bus/Transit,,,,"we could change this to something like ""Bus/Transit within 1km"" so it's boolean?"
Good Pedestrian Access,,-,,
BUILDING AMENITIES,,,,
Elevator in Building,,-,,
Cellphone Elevator Control,,-,,
Accessible Shared Laundry,,-,,
Braille Signage,,-,,
Tactile Cues (Textures/Domes),,-,,
Lowered Mailboxes,,-,,
Accessible Guest Intercom,,-,,
Automated Building Doors,,-,,
UNIT INTERIOR,,,,
Unit Entrance is Barrier-Free,,-,,
Ceiling Lift Ready,,-,,
Automated Unit Doors,,-,,
No Stairs Within Unit,,-,,
Wide Doorways,,-,,
Lever Door Handles,,-,,
Lowered Light Switches,,-,,
Hard Flooring,,-,,
Carpeted Floors,,-,,
Air Conditioning,,-,,
KITCHEN & BATH,,,,
Lowered Kitchen Counters,,-,,
Lowered Cabinets,,-,,
Front Stove Controls,,-,,
Convection Cooktop,,-,,
Front Dishwasher Controls,,-,,
Bottom-Door Freezer,,-,,
Non-Digital Appliances,,-,,
Barrier-Free Bathroom,,-,,
Lowered Bathroom Counters,,-,,
Accessible Height Toilet,,-,,
Roll-In Shower,,-,,
Walk-In Shower,,-,,
Grab Bars (General),,-,,
SAFETY & SENSORY,,,,
Smoke & CO Detectors w/ Strobe,,-,,
Sprinkler System,,-,,
Service Animals Allowed,,-,,
