entity_type,entity_name,entity_uuid,parent_entity_uuid,parent_name,parent_path,status_name,pb_url,hierarchy,"Existence In Bloom Housing",Owner,"Work progress"
Product,"Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c",null,,"c8556256-acbc-4403-83cc-ed296b1bfe0c",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpjODU1NjI1Ni1hY2JjLTQ0MDMtODNjYy1lZDI5NmIxYmZlMGM=",,,"Jessica Liu",
Component,"Add keys for Resource items on Resources page","68e0ce1e-e80f-400f-b31c-8fbd475b504b","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/68e0ce1e-e80f-400f-b31c-8fbd475b504b",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo2OGUwY2UxZS1lODBmLTQwMGYtYjMxYy04ZmJkNDc1YjUwNGI=","Affordable Housing Portal",,"Sarah B",
Feature,"Get real content and populate","87d77b44-ccf3-4997-bca1-4e8d25f477b3","68e0ce1e-e80f-400f-b31c-8fbd475b504b","Add keys for Resource items on Resources page","c8556256-acbc-4403-83cc-ed296b1bfe0c/68e0ce1e-e80f-400f-b31c-8fbd475b504b/87d77b44-ccf3-4997-bca1-4e8d25f477b3",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo4N2Q3N2I0NC1jY2YzLTQ5OTctYmNhMS00ZThkMjVmNDc3YjM=","Affordable Housing Portal","Requires Additional Work","Sarah B",0
Feature,"Set up new keys ","b4ae96ec-e11d-48bc-90e8-73219ded05f6","68e0ce1e-e80f-400f-b31c-8fbd475b504b","Add keys for Resource items on Resources page","c8556256-acbc-4403-83cc-ed296b1bfe0c/68e0ce1e-e80f-400f-b31c-8fbd475b504b/b4ae96ec-e11d-48bc-90e8-73219ded05f6",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpiNGFlOTZlYy1lMTFkLTQ4YmMtOTBlOC03MzIxOWRlZDA1ZjY=","Affordable Housing Portal","Requires Additional Work","Sarah B",0
Component,Branding,"3adbc416-6eef-41e8-95d6-fd43225c845b","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/3adbc416-6eef-41e8-95d6-fd43225c845b",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTozYWRiYzQxNi02ZWVmLTQxZTgtOTVkNi1mZDQzMjI1Yzg0NWI=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Remove references to bloom housing in code","2525b156-f4cd-4bb6-b895-20ce17b339d6","3adbc416-6eef-41e8-95d6-fd43225c845b",Branding,"c8556256-acbc-4403-83cc-ed296b1bfe0c/3adbc416-6eef-41e8-95d6-fd43225c845b/2525b156-f4cd-4bb6-b895-20ce17b339d6",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eToyNTI1YjE1Ni1mNGNkLTRiYjYtYjg5NS0yMGNlMTdiMzM5ZDY=","Affordable Housing Portal","Fully Implemented","Matt Baker",100
Feature,"Remove references to bloom housing in documentation","e1e9de06-a498-4aa6-8e3f-b83cbafc8f8e","3adbc416-6eef-41e8-95d6-fd43225c845b",Branding,"c8556256-acbc-4403-83cc-ed296b1bfe0c/3adbc416-6eef-41e8-95d6-fd43225c845b/e1e9de06-a498-4aa6-8e3f-b83cbafc8f8e",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTplMWU5ZGUwNi1hNDk4LTRhYTYtOGUzZi1iODNjYmFmYzhmOGU=","Affordable Housing Portal","Fully Implemented","Matt Baker",100
Component,"Housing Searcher Login Page","0ff90243-da05-42e7-b5b6-73af762beaee","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/0ff90243-da05-42e7-b5b6-73af762beaee",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTowZmY5MDI0My1kYTA1LTQyZTctYjViNi03M2FmNzYyYmVhZWU=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Searchers can sign in","59dc7cd2-b51e-41e9-9ed5-ac40f4a0b689","0ff90243-da05-42e7-b5b6-73af762beaee","Housing Searcher Login Page","c8556256-acbc-4403-83cc-ed296b1bfe0c/0ff90243-da05-42e7-b5b6-73af762beaee/59dc7cd2-b51e-41e9-9ed5-ac40f4a0b689",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo1OWRjN2NkMi1iNTFlLTQxZTktOWVkNS1hYzQwZjRhMGI2ODk=","Affordable Housing Portal","Fully Implemented","Jessica Liu",0
Feature,"Remove ability for the public to create an account","8f2265c2-e6b0-45e9-90fe-6aaf228ce313","0ff90243-da05-42e7-b5b6-73af762beaee","Housing Searcher Login Page","c8556256-acbc-4403-83cc-ed296b1bfe0c/0ff90243-da05-42e7-b5b6-73af762beaee/8f2265c2-e6b0-45e9-90fe-6aaf228ce313",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo4ZjIyNjVjMi1lNmIwLTQ1ZTktOTBmZS02YWFmMjI4Y2UzMTM=","Affordable Housing Portal","Fully Implemented","Jessica Liu",0
